date,close,high,low,open,volume
2025-07-11T00:00:00.000Z,114.11,114.93,114.0,114.78,292766.0
2025-07-14T00:00:00.000Z,112.13,112.43,111.5,111.67,323953.0
2025-07-15T00:00:00.000Z,110.83,112.79,110.65,112.67,890371.0
2025-07-16T00:00:00.000Z,111.34,112.01,109.72,109.95,312236.0
2025-07-17T00:00:00.000Z,110.77,112.44,110.07,111.78,541288.0
2025-07-18T00:00:00.000Z,109.72,111.21,109.63,111.16,489179.0
2025-07-21T00:00:00.000Z,108.95,109.87,108.5,108.86,340164.0
2025-07-22T00:00:00.000Z,109.81,109.92,108.55,109.315,299586.0
2025-07-23T00:00:00.000Z,114.24,114.5,111.83,112.39,463728.0
2025-07-24T00:00:00.000Z,110.0,113.0,109.1,109.81,824072.0
2025-07-25T00:00:00.000Z,115.93,115.93,111.81,112.14,636308.0
2025-07-28T00:00:00.000Z,113.82,114.29,113.18,114.27,491628.0
2025-07-29T00:00:00.000Z,110.4,110.97,109.455,110.49,518289.0
2025-07-30T00:00:00.000Z,109.62,111.21,109.0,110.8,499124.0
2025-07-31T00:00:00.000Z,107.62,109.01,107.57,107.96,345029.0
2025-08-01T00:00:00.000Z,106.54,107.31,105.78,107.0,709829.0
2025-08-04T00:00:00.000Z,106.76,107.11,106.56,107.02,227179.0
2025-08-05T00:00:00.000Z,105.8,105.99,104.77,105.11,243186.0
2025-08-06T00:00:00.000Z,106.715,106.89,105.97,106.7,175707.0
2025-08-07T00:00:00.000Z,107.3,108.72,106.89,108.26,399781.0
2025-08-08T00:00:00.000Z,107.77,108.62,106.8,107.13,180577.0
2025-08-11T00:00:00.000Z,106.28,107.34,105.56,107.05,229565.0
2025-08-12T00:00:00.000Z,107.11,107.21,104.82,105.05,272298.0
2025-08-13T00:00:00.000Z,110.26,110.26,108.246,108.42,166766.0
2025-08-14T00:00:00.000Z,110.58,110.58,109.16,109.24,248001.0
2025-08-15T00:00:00.000Z,111.99,112.09,110.84,110.9,341906.0
2025-08-18T00:00:00.000Z,111.45,111.52,109.83,109.95,295356.0
2025-08-19T00:00:00.000Z,114.04,114.5,113.35,113.82,385072.0
2025-08-20T00:00:00.000Z,114.93,116.265,114.77,115.63,256265.0
2025-08-21T00:00:00.000Z,112.46,113.2,112.13,113.07,139903.0
2025-08-22T00:00:00.000Z,116.13,116.72,112.78,112.83,375623.0
2025-08-25T00:00:00.000Z,112.97,114.955,112.8401,114.59,220066.0
2025-08-26T00:00:00.000Z,113.59,114.79,113.06,114.74,149147.0
2025-08-27T00:00:00.000Z,116.792,117.56,116.067,116.58,183149.0
2025-08-28T00:00:00.000Z,120.25,121.25,119.44,120.98,448636.0
2025-08-29T00:00:00.000Z,118.07,119.64,117.44,119.15,377510.0
2025-09-02T00:00:00.000Z,120.6893,120.7109,119.29,119.54,763126.0
2025-09-03T00:00:00.000Z,121.7,121.99,120.84,121.14,246576.0
2025-09-04T00:00:00.000Z,116.58,117.21,116.01,116.61,443660.0
2025-09-05T00:00:00.000Z,116.13,117.125,115.07,115.12,135985.0
2025-09-08T00:00:00.000Z,116.83,116.87,116.035,116.73,419841.0
2025-09-09T00:00:00.000Z,115.4545,116.21,114.47,115.89,314592.0
2025-09-10T00:00:00.000Z,114.24,115.0,114.0,114.85,289690.0
2025-09-11T00:00:00.000Z,114.77,114.77,113.435,114.08,217435.0
2025-09-12T00:00:00.000Z,115.21,115.735,114.56,115.47,190257.0
2025-09-15T00:00:00.000Z,118.82,118.84,117.54,117.79,242411.0
2025-09-16T00:00:00.000Z,120.54,120.73,119.14,120.67,252307.0
2025-09-17T00:00:00.000Z,120.62,122.18,120.0,120.22,149715.0
2025-09-18T00:00:00.000Z,122.1,123.16,121.4801,123.05,157088.0
2025-09-19T00:00:00.000Z,120.24,121.59,119.79,121.32,152118.0
2025-09-22T00:00:00.000Z,120.529,120.53,118.78,119.57,592295.0
2025-09-23T00:00:00.000Z,123.14,125.0,122.93,123.8,307899.0
2025-09-24T00:00:00.000Z,119.68,120.21,119.41,119.79,262518.0
2025-09-25T00:00:00.000Z,118.5,118.8999,117.7525,118.7,278659.0
2025-09-26T00:00:00.000Z,120.77,120.92,119.818,119.95,224469.0
2025-09-29T00:00:00.000Z,122.99,123.3,122.497,122.56,303495.0
2025-09-30T00:00:00.000Z,122.31,122.74,121.33,122.38,240081.0
2025-10-01T00:00:00.000Z,123.49,124.51,122.71,123.92,177202.0
2025-10-02T00:00:00.000Z,127.333,127.8,126.58,127.6,137881.0
2025-10-03T00:00:00.000Z,129.77,129.94,128.13,128.17,147711.0
2025-10-06T00:00:00.000Z,129.86,132.0,125.736,127.17,267848.0
2025-10-07T00:00:00.000Z,129.87,131.21,129.57,129.93,294780.0
2025-10-08T00:00:00.000Z,133.42,134.0,132.69,132.92,201607.0
2025-10-09T00:00:00.000Z,128.35,132.08,128.2,132.04,519593.0
2025-10-10T00:00:00.000Z,125.5,129.52,125.38,129.48,371339.0
2025-10-13T00:00:00.000Z,125.01,125.69,123.84,125.69,161023.0
2025-10-14T00:00:00.000Z,136.04,136.04,122.14,122.36,490185.0
2025-10-15T00:00:00.000Z,139.0,139.5,137.6,138.0,331129.0
2025-10-16T00:00:00.000Z,139.72,141.0,139.6,140.02,313201.0
2025-10-17T00:00:00.000Z,141.996,142.0,140.55,140.74,300189.0
2025-10-20T00:00:00.000Z,142.32,143.39,141.94,142.13,256280.0
2025-10-21T00:00:00.000Z,142.4,143.76,142.27,143.16,161261.0
2025-10-22T00:00:00.000Z,144.36,145.9,143.09,143.25,215001.0
2025-10-23T00:00:00.000Z,144.41,145.97,143.52,145.83,138399.0
2025-10-24T00:00:00.000Z,142.06,142.92,141.56,142.57,128218.0
2025-10-27T00:00:00.000Z,141.98,142.71,140.796,140.96,165522.0
2025-10-28T00:00:00.000Z,142.98,143.8185,142.29,142.72,438891.0
2025-10-29T00:00:00.000Z,143.88,144.99,142.27,142.63,316656.0
2025-10-30T00:00:00.000Z,140.88,141.5299,140.34,140.47,402828.0
2025-10-31T00:00:00.000Z,141.41,141.58,139.62,140.39,223006.0
2025-11-03T00:00:00.000Z,142.41,142.76,141.411,141.83,495721.0
2025-11-04T00:00:00.000Z,139.06,140.72,139.05,139.92,230108.0
2025-11-05T00:00:00.000Z,140.91,141.77,140.19,140.46,163629.0
2025-11-06T00:00:00.000Z,138.57,140.08,137.97,139.75,193687.0
2025-11-07T00:00:00.000Z,140.8,140.95,138.91,139.84,154595.0
